OR4F5	NM_001005484
FAM169A	NM_015566
GCNT4	NM_016591
ANKRD31	NM_001164443
HMGCR	NM_000859
COL4A3BP	NM_001130105
POLK	NM_016218
POC5	NM_001099271
SV2C	NM_014979
IQGAP2	NM_006633
F2RL2	NM_004101
F2R	NM_001992
F2RL1	NM_005242
S100Z	NM_130772
CRHBP	NM_001882
AGGF1	NM_018046
ZBED3	NM_032367
PDE8B	NM_003719
WDR41	NM_018268
OTP	NM_032109
TBCA	NM_004607
AP3B1	NM_003664
SCAMP1	NM_004866
LHFPL2	NM_005779
ARSB	NM_000046
DMGDH	NM_013391
BHMT2	NM_017614
BHMT	NM_001713
JMY	NM_152405
HOMER1	NM_004272
PAPD4	NM_173797
CMYA5	NM_153610
MTX3	NM_001010891
THBS4	NM_003248
SERINC5	NM_001174072
SPZ1	NM_032567
ZFYVE16	NM_014733
FAM151B	NM_205548
ANKRD34B	NM_001004441
DHFR	NM_000791
MTRNR2L2	NM_001190470
MSH3	NM_002439
RASGRF2	NM_006909
CKMT2	NM_001099735
ZCCHC9	NM_001131036
ACOT12	NM_130767
SSBP2	NM_012446
ATG10	NM_031482
RPS23	NM_001025
ATP6AP1L	NM_001017971
TMEM167A	NM_174909
XRCC4	NM_022406
VCAN	NM_004385
HAPLN1	NM_001884
EDIL3	NM_005711
COX7C	NM_001867
RASA1	NM_002890
CCNH	NM_001239
TMEM161B	NM_153354
MEF2C	NM_001193347
CETN3	NM_004365
MBLAC2	NM_203406
POLR3G	NM_006467
LYSMD3	NM_198273
GPR98	NM_032119
ARRDC3	NM_020801
NR2F1	NM_005654
FAM172A	NM_032042
POU5F2	NM_153216
KIAA0825	NM_001145678
ANKRD32	NM_032290
MCTP1	NM_024717
FAM81B	NM_152548
TTC37	NM_014639
ARSK	NM_198150
GPR150	NM_199243
RFESD	NM_001131066
SPATA9	NM_031952
RHOBTB3	NM_014899
GLRX	NM_001243658
ELL2	NM_012081
PCSK1	NM_000439
CAST	NM_001042440
ERAP1	NM_016442
ERAP2	NM_001130140
LNPEP	NM_175920
LIX1	NM_153234
RIOK2	NM_018343
RGMB	NM_001012761
CHD1	NM_001270
FAM174A	NM_198507
ST8SIA4	NM_005668
SLCO4C1	NM_180991
SLCO6A1	NM_173488
PAM	NM_000919
GIN1	NM_017676
PPIP5K2	NM_015216
C5orf30	NM_033211
NUDT12	NM_031438
EFNA5	NM_001962
FBXL17	NM_001163315
FER	NM_005246
PJA2	NM_014819
MAN2A1	NM_002372
TMEM232	NM_001039763
SLC25A46	NM_138773
TSLP	NM_033035
WDR36	NM_139281
CAMK4	NM_001744
STARD4	NM_139164
NREP	NM_001142475
EPB41L4A	NM_022140
APC	NM_000038
SRP19	NM_001204199
REEP5	NM_005669
DCP2	NM_152624
MCC	NM_001085377
TSSK1B	NM_032028
YTHDC2	NM_022828
KCNN2	NM_021614
TRIM36	NM_018700
PGGT1B	NM_005023
CCDC112	NM_001040440
FEM1C	NM_020177
TMED7-TICAM2	NM_001164468
CDO1	NM_001801
ATG12	NM_004707
AP3S1	NM_001284
AQPEP	NM_173800
COMMD10	NM_016144
SEMA6A	NM_020796
DTWD2	NM_173666
DMXL1	NM_005509
TNFAIP8	NM_014350
HSD17B4	NM_000414
FAM170A	NM_182761
PRR16	NM_016644
FTMT	NM_177478
SRFBP1	NM_152546
LOX	NM_002317
ZNF474	NM_207317
LOC100505841	NM_001195535
SNCAIP	NM_005460
SNX2	NM_003100
SNX24	NM_014035
PPIC	NM_000943
PRDM6	NM_001136239
CEP120	NM_153223
CSNK1G3	NM_001044723
ZNF608	NM_020747
GRAMD3	NM_001146319
ALDH7A1	NM_001201377
PHAX	NM_032177
C5orf48	NM_207408
LMNB1	NM_005573
MARCH3	NM_178450
C5orf63	NM_001164478
MEGF10	NM_032446
PRRC1	NM_130809
CTXN3	NM_001127385
SLC12A2	NM_001046
FBN2	NM_001999
SLC27A6	NM_014031
ISOC1	NM_016048
ADAMTS19	NM_133638
CHSY3	NM_175856
HINT1	NM_005340
LYRM7	NM_181705
CDC42SE2	NM_001038702
RAPGEF6	NM_001164386
ACSL6	NM_001009185
IL3	NM_000588
CSF2	NM_000758
P4HA2	NM_001142599
PDLIM4	NM_003687
SLC22A4	NM_003059
SLC22A5	NM_003060
IRF1	NM_002198
IL5	NM_000879
RAD50	NM_005732
IL13	NM_002188
IL4	NM_000589
KIF3A	NM_007054
CCNI2	NM_001039780
SEPT8	NM_001098811
SOWAHA	NM_175873
SHROOM1	NM_133456
GDF9	NM_005260
UQCRQ	NM_014402
LEAP2	NM_052971
AFF4	NM_014423
ZCCHC10	NM_017665
HSPA4	NM_002154
FSTL4	NM_015082
C5orf15	NM_020199
VDAC1	NM_003374
TCF7	NM_003202
SKP1	NM_170679
CDKL3	NM_001113575
UBE2B	NM_003337
CDKN2AIPNL	NM_080656
PHF15	NM_015288
SAR1B	NM_016103
SEC24A	NM_021982
CAMLG	NM_001745
DDX46	NM_014829
C5orf24	NM_001135586
TXNDC15	NM_024715
PCBD2	NM_032151
CATSPER3	NM_178019
PITX1	NM_002653
H2AFY	NM_138610
C5orf20	NM_130848
TIFAB	NM_001099221
NEUROG1	NM_006161
CXCL14	NM_004887
SLC25A48	NM_145282
IL9	NM_000590
FBXL21	NM_012159
LECT2	NM_002302
TGFBI	NM_000358
SMAD5	NM_001001420
TRPC7	NM_020389
SPOCK1	NM_004598
KLHL3	NM_017415
HNRNPA0	NM_006805
MYOT	NM_006790
PKD2L2	NM_014386
FAM13B	NM_016603
WNT8A	NM_058244
NME5	NM_003551
BRD8	NM_139199
KIF20A	NM_005733
CDC23	NM_004661
GFRA3	NM_001496
CDC25C	NM_001790
FAM53C	NM_016605
KDM3B	NM_016604
REEP2	NM_016606
EGR1	NM_001964
ETF1	NM_004730
HSPA9	NM_004134
CTNNA1	NM_001903
LRRTM2	NM_015564
SIL1	NM_022464
MATR3	NM_018834
PAIP2	NM_016480
SLC23A1	NM_152685
MZB1	NM_016459
SPATA24	NM_194296
DNAJC18	NM_152686
ECSCR	NM_001077693
TMEM173	NM_198282
UBE2D2	NM_003339
CXXC5	NM_016463
PSD2	NM_032289
NRG2	NM_013982
PURA	NM_005859
IGIP	NM_001007189
PFDN1	NM_002622
HBEGF	NM_001945
SLC4A9	NM_031467
ANKHD1-EIF4EBP3	NM_020690
EIF4EBP3	NM_003732
SRA1	NM_001253764
APBB3	NM_133174
SLC35A4	NM_080670
CD14	NM_000591
TMCO6	NM_018502
NDUFA2	NM_002488
IK	NM_006083
WDR55	NM_017706
DND1	NM_194249
HARS	NM_002109
HARS2	NM_012208
ZMAT2	NM_144723
PCDHAC2	NM_018899
PCDHB1	NM_013340
PCDHB2	NM_018936
PCDHB3	NM_018937
PCDHB4	NM_018938
PCDHB5	NM_015669
PCDHB6	NM_018939
PCDHB7	NM_018940
PCDHB8	NM_019120
PCDHB16	NM_020957
PCDHB9	NM_019119
PCDHB10	NM_018930
PCDHB11	NM_018931
PCDHB12	NM_018932
PCDHB13	NM_018933
PCDHB14	NM_018934
PCDHB15	NM_018935
SLC25A2	NM_031947
TAF7	NM_005642
PCDHGC5	NM_018929
DIAPH1	NM_005219
HDAC3	NM_003883
RELL2	NM_001130029
FCHSD1	NM_033449
ARAP3	NM_022481
PCDH1	NM_032420
KIAA0141	NM_014773
PCDH12	NM_016580
RNF14	NM_183400
GNPDA1	NM_005471
NDFIP1	NM_030571
SPRY4	NM_001127496
FGF1	NM_000800
ARHGAP26	NM_015071
NR3C1	NM_001018076
HMHB1	NM_021182
YIPF5	NM_030799
KCTD16	NM_020768
PRELID2	NM_205846
GRXCR2	NM_001080516
SH3RF2	NM_152550
PLAC8L1	NM_001029869
LARS	NM_020117
RBM27	NM_018989
POU4F3	NM_002700
TCERG1	NM_006706
GPR151	NM_194251
PPP2R2B	NM_181674
STK32A	NM_001112724
DPYSL3	NM_001197294
JAKMIP2	NM_014790
SPINK1	NM_003122
SCGB3A2	NM_054023
C5orf46	NM_206966
SPINK5	NM_001127698
SPINK14	NM_001001325
SPINK6	NM_001195290
SPINK13	NM_001040129
SPINK7	NM_032566
SPINK9	NM_001040433
FBXO38	NM_205836
HTR4	NM_001040173
ADRB2	NM_000024
SH3TC2	NM_024577
ABLIM3	NM_014945
AFAP1L1	NM_152406
GRPEL2	NM_152407
PCYOX1L	NM_024028
IL17B	NM_014443
CSNK1A1	NM_001025105
ARHGEF37	NM_001001669
PPARGC1B	NM_133263
PDE6A	NM_000440
SLC26A2	NM_000112
TIGD6	NM_030953
HMGXB3	NM_014983
CSF1R	NM_005211
PDGFRB	NM_002609
CDX1	NM_001804
SLC6A7	NM_014228
CAMK2A	NM_015981
ARSI	NM_001012301
TCOF1	NM_001135244
CD74	NM_001025159
RPS14	NM_001025070
NDST1	NM_001543
SYNPO	NM_001166208
MYOZ3	NM_133371
RBM22	NM_018047
DCTN4	NM_001135643
IRGM	NM_001145805
ZNF300	NM_001172831
GPX3	NM_002084
TNIP1	NM_001252391
ANXA6	NM_001155
CCDC69	NM_015621
GM2A	NM_000405
SLC36A3	NM_181774
SLC36A2	NM_181776
SLC36A1	NM_078483
FAT2	NM_001447
SPARC	NM_003118
ATOX1	NM_004045
G3BP1	NM_198395
GLRA1	NM_001146040
NMUR2	NM_020167
GRIA1	NM_000827
FAM114A2	NM_018691
MFAP3	NM_005927
GALNT10	NM_198321
SAP30L	NM_024632
HAND1	NM_004821
LARP1	NM_015315
C5orf4	NM_032385
CNOT8	NM_004779
GEMIN5	NM_015465
MRPL22	NM_014180
KIF4B	NM_001099293
SGCD	NM_001128209
TIMD4	NM_138379
HAVCR1	NM_001173393
HAVCR2	NM_032782
MED7	NM_004270
FAM71B	NM_130899
ITK	NM_005546
CYFIP2	NM_001037333
FNDC9	NM_001001343
NIPAL4	NM_001099287
ADAM19	NM_033274
SOX30	NM_178424
C5orf52	NM_001145132
THG1L	NM_017872
LSM11	NM_173491
CLINT1	NM_001195555
EBF1	NM_024007
RNF145	NM_144726
UBLCP1	NM_145049
IL12B	NM_002187
ADRA1B	NM_000679
TTC1	NM_003314
PWWP2A	NM_001130864
FABP6	NM_001130958
CCNJL	NM_024565
C1QTNF2	NM_031908
C5orf54	NM_022090
SLU7	NM_006425
PTTG1	NM_004219
ATP10B	NM_025153
GABRB2	NM_021911
GABRA6	NM_000811
GABRA1	NM_001127647
GABRG2	NM_198903
CCNG1	NM_199246
NUDCD2	NM_145266
HMMR	NM_001142556
MAT2B	NM_013283
WWC1	NM_001161661
RARS	NM_002887
PANK3	NM_024594
SLIT3	NM_003062
DOCK2	NM_004946
FAM196B	NM_001129891
FOXI1	NM_012188
C5orf58	NM_001102609
LCP2	NM_005565
KCNIP1	NM_001034838
KCNMB1	NM_004137
GABRP	NM_014211
RANBP17	NM_022897
TLX3	NM_021025
NPM1	NM_002520
FGF18	NM_003862
FBXW11	NM_012300
STK10	NM_005990
EFCAB9	NM_001171183
UBTD2	NM_152277
SH3PXD2B	NM_001017995
NEURL1B	NM_001142651
DUSP1	NM_004417
ERGIC1	NM_001031711
RPL26L1	NM_016093
ATP6V0E1	NM_003945
BNIP1	NM_001205
NKX2-5	NM_004387
STC2	NM_003714
BOD1	NM_138369
CPEB4	NM_030627
C5orf47	NM_001144954
HMP19	NM_015980
MSX2	NM_002449
DRD1	NM_000794
SFXN1	NM_022754
HRH2	NM_001131055
CPLX2	NM_001008220
THOC3	NM_032361
KIAA1191	NM_001079685
ARL10	NM_173664
NOP16	NM_016391
HIGD2A	NM_138820
CLTB	NM_007097
FAF2	NM_014613
RNF44	NM_014901
CDHR2	NM_017675
GPRIN1	NM_052899
SNCB	NM_003085
EIF4E1B	NM_001099408
TSPAN17	NM_012171
UNC5A	NM_133369
HK3	NM_002115
UIMC1	NM_001199298
ZNF346	NM_012279
FGFR4	NM_213647
NSD1	NM_022455
RAB24	NM_001031677
PRELID1	NM_013237
MXD3	NM_031300
LMAN2	NM_006816
RGS14	NM_006480
SLC34A1	NM_003052
PFN3	NM_001029886
F12	NM_000505
GRK6	NM_002082
PRR7	NM_001174102
DBN1	NM_004395
PDLIM7	NM_005451
DOK3	NM_024872
DDX41	NM_016222
FAM193B	NM_001190946
TMED9	NM_017510
B4GALT7	NM_007255
FAM153A	NM_173663
PROP1	NM_006261
N4BP3	NM_015111
RMND5B	NM_022762
NHP2	NM_017838
HNRNPAB	NM_031266
AGXT2L2	NM_153373
COL23A1	NM_173465
CLK4	NM_020666
ZNF354A	NM_005649
ZNF354B	NM_058230
ZFP2	NM_030613
ZNF454	NM_001178090
GRM6	NM_000843
ZNF879	NM_001136116
ZNF354C	NM_014594
ADAMTS2	NM_014244
RUFY1	NM_025158
HNRNPH1	NM_005520
C5orf60	NM_001142306
CBY3	NM_001164444
CANX	NM_001024649
MAML1	NM_014757
LTC4S	NM_145867
MGAT4B	NM_014275
SQSTM1	NM_003900
C5orf45	NM_016175
TBC1D9B	NM_198868
RNF130	NM_018434
RASGEF1C	NM_175062
MAPK9	NM_002752
GFPT2	NM_005110
CNOT6	NM_015455
SCGB3A1	NM_052863
FLT4	NM_182925
OR2Y1	NM_001001657
MGAT1	NM_002406
ZFP62	NM_001172638
BTNL8	NM_001040462
BTNL3	NM_197975
BTNL9	NM_152547
OR2V2	NM_206880
TRIM7	NM_203293
TRIM41	NM_033549
GNB2L1	NM_006098
TRIM52	NM_032765
DUSP22	NM_020185
IRF4	NM_002460
EXOC2	NM_018303
HUS1B	NM_148959
FOXQ1	NM_033260
FOXF2	NM_001452
FOXC1	NM_001453
GMDS	NM_001500
C6orf195	NM_152554
MYLK4	NM_001012418
WRNIP1	NM_020135
SERPINB1	NM_030666
SERPINB9	NM_004155
SERPINB6	NM_004568
NQO2	NM_000904
RIPK1	NM_003804
BPHL	NM_004332
TUBB2A	NM_001069
TUBB2B	NM_178012
PSMG4	NM_001128592
SLC22A23	NM_015482
PXDC1	NM_183373
FAM50B	NM_012135
PRPF4B	NM_003913
C6orf201	NM_001085401
ECI2	NM_206836
CDYL	NM_004824
RPP40	NM_006638
PPP1R3G	NM_001145115
LYRM4	NM_001164840
FARS2	NM_006567
NRN1	NM_016588
F13A1	NM_000129
LY86	NM_004271
RREB1	NM_001003699
SSR1	NM_003144
CAGE1	NM_001170692
RIOK1	NM_031480
DSP	NM_004415
SNRNP48	NM_152551
BMP6	NM_001718
TXNDC5	NM_030810
EEF1E1	NM_004280
SLC35B3	NM_001142541
TFAP2A	NM_003220
GCNT2	NM_145655
C6orf52	NM_001145020
PAK1IP1	NM_017906
TMEM14C	NM_001165258
TMEM14B	NM_030969
MAK	NM_001242957
GCM2	NM_004752
SYCP2L	NM_001040274
ELOVL2	NM_017770
C6orf228	NM_001135575
ERVFRD-1	NM_207582
NEDD9	NM_006403
TMEM170B	NM_001100829
HIVEP1	NM_002114
EDN1	NM_001955
PHACTR1	NM_001242648
LOC100130357	NM_001242698
TBC1D7	NM_001143965
GFOD1	NM_018988
SIRT5	NM_012241
NOL7	NM_016167
RANBP9	NM_005493
CCDC90A	NM_001031713
RNF182	NM_001165033
CD83	NM_004233
JARID2	NM_004973
DTNBP1	NM_032122
MYLIP	NM_013262
GMPR	NM_006877
ATXN1	NM_001128164
FLJ23152	NM_001190766
RBM24	NM_001143941
CAP2	NM_006366
FAM8A1	NM_016255
NUP153	NM_005124
KIF13A	NM_022113
NHLRC1	NM_198586
TPMT	NM_000367
KDM1B	NM_153042
DEK	NM_003472
RNF144B	NM_182757
ID4	NM_001546
MBOAT1	NM_001080480
E2F3	NM_001949
CDKAL1	NM_017774
SOX4	NM_003107
PRL	NM_001163558
HDGFL1	NM_138574
NRSN1	NM_080723
DCDC2	NM_016356
KAAG1	NM_181337
MRS2	NM_020662
GPLD1	NM_001503
ALDH5A1	NM_170740
KIAA0319	NM_014809
TDP2	NM_016614
ACOT13	NM_018473
C6orf62	NM_030939
GMNN	NM_001251989
FAM65B	NM_014722
LRRC16A	NM_017640
SCGN	NM_006998
HIST1H2AA	NM_170745
HIST1H2BA	NM_170610
SLC17A4	NM_005495
SLC17A1	NM_005074
SLC17A3	NM_001098486
SLC17A2	NM_005835
TRIM38	NM_006355
HIST1H1A	NM_005325
HIST1H3A	NM_003529
HIST1H4A	NM_003538
HIST1H4B	NM_003544
HIST1H3B	NM_003537
HIST1H2AB	NM_003513
HIST1H2BB	NM_021062
HIST1H3C	NM_003531
HIST1H1C	NM_005319
HFE	NM_000410
HIST1H4C	NM_003542
HIST1H1T	NM_005323
HIST1H2BC	NM_003526
HIST1H2AC	NM_003512
HIST1H1E	NM_005321
HIST1H2BD	NM_021063
HIST1H2BE	NM_003523
HIST1H4D	NM_003539
HIST1H3D	NM_003530
HIST1H2AD	NM_021065
HIST1H2BF	NM_003522
HIST1H4E	NM_003545
HIST1H2BG	NM_003518
HIST1H2AE	NM_021052
HIST1H3E	NM_003532
HIST1H1D	NM_005320
HIST1H4F	NM_003540
HIST1H4G	NM_003547
HIST1H3F	NM_021018
HIST1H2BH	NM_003524
HIST1H3G	NM_003534
HIST1H2BI	NM_003525
HIST1H4H	NM_003543
BTN3A2	NM_001197246
BTN2A2	NM_006995
BTN3A1	NM_007048
BTN3A3	NM_006994
BTN2A1	NM_007049
BTN1A1	NM_001732
HMGN4	NM_006353
ABT1	NM_013375
ZNF322	NM_024639
HIST1H2BJ	NM_021058
HIST1H2AG	NM_021064
HIST1H2BK	NM_080593
HIST1H4I	NM_003495
HIST1H2AH	NM_080596
PRSS16	NM_005865
POM121L2	NM_033482
ZNF391	NM_001076781
ZNF184	NM_007149
HIST1H2BL	NM_003519
HIST1H3H	NM_003536
HIST1H2AJ	NM_021066
HIST1H2BM	NM_003521
HIST1H4J	NM_021968
HIST1H4K	NM_003541
HIST1H2AK	NM_003510
HIST1H2BN	NM_003520
HIST1H2AL	NM_003511
HIST1H1B	NM_005322
HIST1H3I	NM_003533
HIST1H4L	NM_003546
HIST1H3J	NM_003535
HIST1H2AM	NM_003514
HIST1H2BO	NM_003527
OR2B2	NM_033057
OR2B6	NM_012367
ZNF165	NM_003447
ZSCAN16	NM_025231
ZNF192	NM_006298
ZNF193	NM_001199480
ZKSCAN4	NM_019110
NKAPL	NM_001007531
ZNF187	NM_152736
PGBD1	NM_001184743
ZNF323	NM_001135216
ZKSCAN3	NM_024493
ZSCAN12	NM_001163391
ZSCAN23	NM_001012455
GPX6	NM_182701
GPX5	NM_001509
SCAND3	NM_052923
TRIM27	NM_006510
ZNF311	NM_001010877
LOC100129636	NM_001195202
OR2W1	NM_030903
OR2B3	NM_001005226
OR2J3	NM_001005216
OR2J2	NM_030905
OR14J1	NM_030946
OR5V1	NM_030876
OR12D3	NM_030959
OR12D2	NM_013936
OR11A1	NM_013937
OR10C1	NM_013941
OR2H1	NM_030883
MAS1L	NM_052967
UBD	NM_006398
OR2H2	NM_007160
GABBR1	NM_001470
MOG	NM_002433
ZFP57	NM_001109809
HLA-F	NM_001098479
LOC554223	NM_001207043
HLA-G	NM_002127
HLA-A	NM_001242758
ZNRD1	NM_170783
PPP1R11	NM_021959
RNF39	NM_025236
TRIM31	NM_007028
TRIM40	NM_138700
TRIM10	NM_006778
TRIM15	NM_033229
TRIM26	NM_001242783
TRIM39-RPP21	NM_001199119
HLA-E	NM_005516
GNL1	NM_005275
PRR3	NM_025263
ABCF1	NM_001025091
PPP1R10	NM_002714
MRPS18B	NM_014046
ATAT1	NM_001031722
C6orf136	NM_001161376
DHX16	NM_003587
PPP1R18	NM_001134870
NRM	NM_007243
MDC1	NM_014641
TUBB	NM_178014
FLOT1	NM_005803
IER3	NM_003897
DDR1	NM_013994
GTF2H4	NM_001517
VARS2	NM_001167734
SFTA2	NM_205854
DPCR1	NM_080870
MUC21	NM_001010909
MUC22	NM_001198815
C6orf15	NM_014070
PSORS1C1	NM_014068
CDSN	NM_001264
PSORS1C2	NM_014069
CCHCR1	NM_019052
TCF19	NM_001077511
POU5F1	NM_002701
HLA-C	NM_002117
MICA	NM_001177519
MICB	NM_005931
MCCD1	NM_001011700
DDX39B	NM_080598
ATP6V1G2	NM_130463
NFKBIL1	NM_005007
LTA	NM_001159740
TNF	NM_000594
LTB	NM_002341
LST1	NM_205838
NCR3	NM_147130
AIF1	NM_001623
PRRC2A	NM_004638
BAG6	NM_001098534
APOM	NM_019101
C6orf47	NM_021184
GPANK1	NM_001199240
CSNK2B	NM_001320
LY6G5B	NM_021221
LY6G5C	NM_025262
ABHD16A	NM_021160
LY6G6F	NM_001003693
LY6G6C	NM_025261
C6orf25	NM_138272
DDAH2	NM_013974
CLIC1	NM_001288
MSH5	NM_172165
SAPCD1	NM_001039651
VWA7	NM_025258
VARS	NM_006295
LSM2	NM_021177
HSPA1L	NM_005527
HSPA1A	NM_005345
HSPA1B	NM_005346
C6orf48	NM_001040438
NEU1	NM_000434
SLC44A4	NM_025257
EHMT2	NM_006709
ZBTB12	NM_181842
CFB	NM_001710
RDBP	NM_002904
SKIV2L	NM_006929
DOM3Z	NM_005510
STK19	NM_004197
LOC100293534	NM_001242823
CYP21A2	NM_000500
TNXB	NM_019105
ATF6B	NM_004381
FKBPL	NM_022110
PRRT1	NM_030651
PPT2	NM_138717
EGFL8	NM_030652
AGPAT1	NM_006411
RNF5	NM_006913
AGER	NM_001136
PBX2	NM_002586
GPSM3	NM_022107
NOTCH4	NM_004557
C6orf10	NM_006781
BTNL2	NM_019602
HLA-DRA	NM_019111
HLA-DRB5	NM_002125
HLA-DRB1	NM_001243965
HLA-DQA1	NM_002122
HLA-DQA2	NM_020056
HLA-DQB2	NM_001198858
TAP2	NM_018833
PSMB8	NM_148919
TAP1	NM_000593
PSMB9	NM_002800
HLA-DMB	NM_002118
HLA-DMA	NM_006120
BRD2	NM_001199456
HLA-DOA	NM_002119
HLA-DPA1	NM_033554
HLA-DPB1	NM_002121
COL11A2	NM_080680
RXRB	NM_021976
SLC39A7	NM_001077516
HSD17B8	NM_014234
RING1	NM_002931
VPS52	NM_022553
RPS18	NM_022551
B3GALT4	NM_003782
WDR46	NM_005452
PFDN6	NM_014260
RGL2	NM_004761
TAPBP	NM_172208
ZBTB22	NM_001145338
DAXX	NM_001141970
KIFC1	NM_002263
PHF1	NM_024165
CUTA	NM_001014433
SYNGAP1	NM_006772
ZBTB9	NM_152735
BAK1	NM_001188
ITPR3	NM_002224
IP6K3	NM_054111
LEMD2	NM_181336
MLN	NM_002418
GRM4	NM_000841
HMGA1	NM_145901
C6orf1	NM_001008704
RPS10-NUDT3	NM_001202470
PACSIN1	NM_001199583
SPDEF	NM_012391
C6orf106	NM_024294
SNRPC	NM_003093
UHRF1BP1	NM_017754
TAF11	NM_005643
ANKS1A	NM_015245
TCP11	NM_001093728
SCUBE3	NM_152753
ZNF76	NM_003427
DEF6	NM_022047
PPARD	NM_006238
FANCE	NM_021922
RPL10A	NM_007104
TEAD3	NM_003214
TULP1	NM_003322
FKBP5	NM_004117
ARMC12	NM_145028
CLPS	NM_001832
LHFPL5	NM_182548
SRPK1	NM_003137
SLC26A8	NM_001193476
MAPK14	NM_139012
MAPK13	NM_002754
BRPF3	NM_015695
PNPLA1	NM_001145717
C6orf222	NM_001010903
ETV7	NM_016135
PXT1	NM_152990
KCTD20	NM_173562
STK38	NM_007271
SRSF3	NM_003017
CDKN1A	NM_078467
CPNE5	NM_020939
PPIL1	NM_016059
C6orf89	NM_152734
PI16	NM_153370
MTCH1	NM_014341
FGD2	NM_173558
PIM1	NM_002648
TMEM217	NM_145316
TBC1D22B	NM_017772
RNF8	NM_003958
FTSJD2	NM_015050
CCDC167	NM_138493
MDGA1	NM_153487
ZFAND3	NM_021943
BTBD9	NM_001099272
GLO1	NM_006708
DNAH8	NM_001206927
GLP1R	NM_002062
SAYSD1	NM_018322
KCNK5	NM_003740
KCNK17	NM_031460
KCNK16	NM_001135105
KIF6	NM_145027
DAAM2	NM_001201427
MOCS1	NM_005943
LRFN2	NM_020737
UNC5CL	NM_173561
TSPO2	NM_001010873
APOBEC2	NM_006789
NFYA	NM_002505
TREML1	NM_178174
TREM2	NM_018965
TREML2	NM_024807
TREML4	NM_198153
TREM1	NM_018643
NCR2	NM_004828
FOXP4	NM_001012426
MDFI	NM_005586
TFEB	NM_001167827
PGC	NM_002630
FRS3	NM_006653
PRICKLE4	NM_013397
TOMM6	NM_001134493
USP49	NM_018561
MED20	NM_004275
BYSL	NM_004053
CCND3	NM_001760
TAF8	NM_138572
C6orf132	NM_001164446
GUCA1A	NM_000409
GUCA1B	NM_002098
MRPS10	NM_018141
TRERF1	NM_033502
UBR2	NM_015255
PRPH2	NM_000322
TBCC	NM_003192
KIAA0240	NM_015349
RPL7L1	NM_198486
C6orf226	NM_001008739
PTCRA	NM_001243168
CNPY3	NM_006586
GNMT	NM_018960
PEX6	NM_000287
PPP2R5D	NM_006245
MEA1	NM_014623
RRP36	NM_033112
CUL7	NM_001168370
MRPL2	NM_015950
KLC4	NM_201523
PTK7	NM_002821
SRF	NM_003131
CUL9	NM_015089
C6orf108	NM_006443
TTBK1	NM_032538
SLC22A7	NM_153320
CRIP3	NM_206922
ZNF318	NM_014345
ABCC10	NM_001198934
DLK2	NM_206539
TJAP1	NM_001146020
LRRC73	NM_001012974
YIPF3	NM_015388
POLR1C	NM_203290
XPO5	NM_020750
POLH	NM_006502
GTPBP2	NM_019096
MAD2L1BP	NM_014628
RSPH9	NM_152732
MRPS18A	NM_018135
VEGFA	NM_001171623
C6orf223	NM_153246
MRPL14	NM_032111
TMEM63B	NM_018426
CAPN11	NM_007058
SLC29A1	NM_001078176
HSP90AB1	NM_007355
SLC35B2	NM_178148
NFKBIE	NM_004556
TMEM151B	NM_001137560
TCTE1	NM_182539
AARS2	NM_020745
SPATS1	NM_145026
CDC5L	NM_001253
SUPT3H	NM_003599
RUNX2	NM_001024630
CLIC5	NM_001114086
ENPP4	NM_014936
ENPP5	NM_021572
RCAN2	NM_001251974
CYP39A1	NM_016593
SLC25A27	NM_004277
TDRD6	NM_001010870
PLA2G7	NM_001168357
LOC100287718	NM_001162435
MEP1A	NM_005588
GPR116	NM_001098518
GPR110	NM_153840
TNFRSF21	NM_014452
CD2AP	NM_012120
GPR111	NM_153839
GPR115	NM_153838
OPN5	NM_181744
MUT	NM_000255
CENPQ	NM_018132
GLYATL3	NM_001010904
C6orf141	NM_001145652
RHAG	NM_000324
CRISP2	NM_001142407
CRISP3	NM_001190986
PGK2	NM_138733
CRISP1	NM_001131
DEFB133	NM_001166478
DEFB114	NM_001037499
DEFB113	NM_001037729
DEFB110	NM_001037497
DEFB112	NM_001037498
TFAP2D	NM_172238
TFAP2B	NM_003221
PKHD1	NM_138694
IL17A	NM_002190
IL17F	NM_052872
MCM3	NM_002388
PAQR8	NM_133367
EFHC1	NM_018100
TRAM2	NM_012288
TMEM14A	NM_014051
GSTA2	NM_000846
GSTA1	NM_145740
GSTA5	NM_153699
GSTA3	NM_000847
GSTA4	NM_001512
ICK	NM_014920
FBXO9	NM_033481
GCM1	NM_003643
ELOVL5	NM_001242828
GCLC	NM_001498
KLHL31	NM_001003760
LRRC1	NM_018214
MLIP	NM_138569
TINAG	NM_014464
FAM83B	NM_001010872
HCRTR2	NM_001526
GFRAL	NM_207410
HMGCLL1	NM_019036
BMP5	NM_021073
COL21A1	NM_030820
DST	NM_015548
BEND6	NM_152731
KIAA1586	NM_020931
ZNF451	NM_001031623
BAG2	NM_004282
RAB23	NM_016277
PRIM2	NM_000947
KHDRBS2	NM_152688
LGSN	NM_016571
PTP4A1	NM_003463
PHF3	NM_015153
EYS	NM_001142800
BAI3	NM_001704
LMBRD1	NM_018368
COL19A1	NM_001858
COL9A1	NM_001851
FAM135A	NM_001162529
C6orf57	NM_145267
SMAP1	NM_001044305
B3GAT2	NM_080742
